articles,bhd,share,million,bank,said,price,market,stock,thi,year,wa,ha,group,malaysia,billion,maybank,research,trade,index,sen,expect,invest,also,compani,us,hold,point,profit,s,high,earn,klci,low,time,growth,net,financi,say,last,per,target,may,level,analyst,would,valuat,cimb,end,note,valu,fbm,close,investor,lower,higher,first,buy,2015,oil,base,declin,manag,busi,rate,daili,includ,2014,quarter,report,sell,kuala,fell,edg,lumpur,month,new,remain,could,today,due,fundament,2016,revenu,recent,like,week,activ,sinc,continu,industri,averag,one,current,rose,capit,support,move,oper,asset,dividend
57,1,4,0,2,1,1,3,5,2,3,0,0,1,0,0,0,1,0,2,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
58,3,2,2,1,4,0,0,0,2,0,0,1,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
59,22,9,10,1,14,1,4,1,3,3,1,10,6,10,0,1,0,2,0,2,1,0,2,8,0,5,0,0,1,0,1,0,0,0,0,0,3,0,1,2,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,4,0,0,0,0,0,2,0,0,1,0,0,1,1,1,1,1,7,0,0,0,0,0,1,0,0,0,0,5,0,1,1,0,3,0,0,1,0,0
60,6,0,0,4,4,0,0,1,1,2,2,7,4,2,0,9,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,3,0,0,0,0,0,0,0
61,0,1,0,2,3,1,5,2,3,2,4,2,0,0,1,1,0,1,3,0,1,0,0,0,15,0,1,0,17,3,2,0,1,1,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,2,0,0,0,0,0,5,0,1,0,0,0,0
62,0,7,1,0,3,1,1,1,1,1,0,0,0,0,7,1,0,0,0,0,2,2,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63,2,2,0,5,11,0,4,2,3,3,2,5,0,14,5,5,0,12,0,0,1,10,3,0,3,1,0,0,0,0,0,0,0,2,5,0,3,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,1,0,2,1,0,1,0,3,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
64,4,1,0,1,0,4,2,3,1,1,0,1,0,0,2,0,0,3,1,0,0,0,0,0,2,0,3,0,7,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0
65,0,5,4,0,6,3,5,3,2,6,0,1,0,0,1,2,3,1,0,0,3,3,1,0,1,0,1,0,0,0,5,0,2,0,0,0,0,1,0,1,3,0,0,5,7,0,0,0,4,1,0,0,1,6,3,0,0,0,0,0,1,2,4,2,0,0,0,0,0,3,0,3,0,0,0,3,2,3,0,1,0,0,11,0,1,0,0,0,2,0,0,0,0,1,1,0,0,3,0,2
66,25,12,21,0,4,15,5,3,4,16,16,3,7,0,10,3,5,3,0,2,4,1,1,4,1,7,2,10,0,3,7,1,2,0,4,11,6,0,1,0,7,0,0,8,4,2,0,7,9,2,1,7,1,5,5,4,5,1,1,0,3,3,6,1,0,0,0,3,2,1,1,5,0,1,4,1,2,2,0,10,0,33,5,0,0,0,1,1,2,1,1,1,0,1,2,1,0,1,1,1
67,3,1,2,0,0,3,1,1,0,2,0,0,0,3,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,5,0,0,3,1,1,1,0,0,7,1,2,1,0,2,1,0,2,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,3,0,0,0,4,0,0,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,1
68,1,1,0,1,2,0,5,4,1,2,1,0,0,1,0,0,0,1,2,0,0,1,0,0,2,1,0,0,3,0,0,0,1,2,0,0,3,0,0,0,0,1,1,1,1,0,0,6,0,0,0,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
69,6,0,0,16,11,1,0,1,7,6,0,3,2,2,0,2,3,1,0,0,16,0,3,0,0,1,2,1,0,0,3,0,0,2,7,1,2,0,0,0,2,1,1,2,2,0,0,1,5,0,0,1,0,6,1,0,0,1,3,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,3,0,0,1,8,0,1,2,0,0,0,3,2,2,0,0,0,1,1,0,1,5,0
70,21,17,47,1,19,24,7,11,4,24,17,19,13,14,14,1,6,9,1,2,3,2,6,8,3,6,2,17,0,6,6,2,2,10,4,14,8,2,7,3,6,3,1,1,1,0,0,16,4,7,2,1,4,5,3,1,1,3,2,3,6,5,5,1,1,0,3,9,4,5,1,10,2,1,8,7,8,5,0,4,0,24,12,2,3,0,1,5,6,9,2,1,6,3,3,1,1,6,1,5
71,23,3,2,1,4,0,3,1,0,0,4,0,2,6,0,0,1,1,4,0,0,0,0,0,1,4,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0
72,1,2,1,4,5,0,2,1,2,0,0,0,1,2,1,10,0,1,0,1,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
73,2,4,16,1,1,1,0,2,4,7,5,5,1,2,1,2,0,1,1,2,1,1,2,5,0,2,0,2,0,0,2,0,0,0,0,2,2,6,2,2,1,1,0,1,1,0,0,2,0,0,0,0,0,2,1,0,0,0,2,3,1,0,2,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
74,0,0,0,2,4,0,6,2,2,1,0,3,3,1,0,7,1,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0
75,12,13,18,7,0,3,1,5,3,2,9,1,2,3,3,2,0,8,0,2,0,0,0,4,2,5,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
76,3,0,3,9,0,5,34,1,16,14,8,18,2,13,2,1,4,1,5,0,13,22,9,2,9,4,6,1,0,5,0,3,7,15,8,0,7,45,6,1,0,8,1,8,0,3,0,2,0,2,3,1,27,3,2,9,0,0,0,4,1,14,1,19,0,4,0,1,3,0,1,0,0,1,6,7,3,8,1,3,3,1,0,7,1,0,2,1,3,11,2,6,6,0,5,1,6,4,31,10
77,4,0,23,1,0,0,0,1,4,8,1,10,10,1,0,1,1,1,0,0,1,2,2,1,0,0,0,8,0,0,5,0,0,4,1,12,0,3,2,1,0,0,0,0,1,0,0,2,3,7,0,1,0,0,2,1,0,3,0,3,1,1,9,0,0,3,0,0,4,1,1,2,2,1,1,4,2,0,0,1,0,0,4,0,0,0,2,0,2,2,1,1,2,1,1,0,0,1,0,2
78,2,5,0,1,1,7,1,2,1,3,4,1,2,0,0,1,1,0,0,6,0,3,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,4,0,1,0,0,1,2,0,0,0,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
79,2,9,9,5,0,12,0,3,6,13,1,6,2,12,3,4,5,2,0,0,2,5,4,5,1,0,2,1,0,3,4,0,1,3,1,1,0,6,3,1,4,3,0,2,1,0,0,1,2,0,0,3,1,0,3,3,1,1,0,0,2,1,1,0,0,0,0,1,4,0,0,0,0,0,2,6,0,2,0,2,0,1,1,6,0,1,0,2,0,4,2,1,2,2,0,0,0,0,0,2
80,0,2,0,1,0,8,3,2,2,2,0,5,1,0,0,2,2,3,0,0,2,0,1,2,0,0,0,0,0,1,1,0,0,0,4,1,1,2,0,0,4,1,0,3,0,0,0,0,3,2,0,0,0,2,1,1,1,0,0,0,0,0,2,1,0,1,0,3,2,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0
81,9,1,0,2,1,2,9,7,5,9,3,6,3,12,1,1,3,2,4,0,5,4,7,2,7,3,12,0,0,0,4,6,0,5,0,0,0,8,3,0,1,4,0,0,3,0,0,4,5,0,9,1,3,1,4,2,0,2,0,0,2,5,0,2,0,5,2,0,1,1,2,0,0,2,5,2,2,8,0,0,0,2,0,0,5,0,0,0,1,0,0,9,1,0,0,0,0,0,2,1
82,9,2,0,1,2,0,6,1,0,0,3,0,1,2,2,0,1,1,5,0,0,0,0,0,3,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,1,0,1,0,0,0,1,0,0,1,0,1,0,2,0,0,1,1,2,3,0,2,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0
83,17,0,0,1,3,0,2,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,3,3,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
84,0,2,1,0,0,3,1,2,1,1,3,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,4,1,2,3,0,1,2,0,0,2,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
85,2,2,7,3,1,3,1,1,3,9,5,10,7,8,0,2,1,0,0,0,3,3,3,1,2,0,0,6,0,1,4,0,0,0,5,2,7,10,1,1,1,3,1,1,4,1,0,3,2,0,0,1,1,3,1,2,2,0,0,0,3,0,1,1,0,0,3,1,1,1,0,1,1,0,3,3,3,2,0,1,0,2,3,0,0,0,0,3,3,1,0,2,0,1,0,0,0,2,0,0
86,0,8,1,0,0,3,0,1,0,1,1,1,2,0,0,3,1,1,0,0,0,1,3,2,0,1,0,0,0,0,2,0,3,0,0,0,0,2,0,1,1,2,0,2,0,4,0,2,1,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
87,7,2,0,1,2,1,1,1,0,0,3,1,0,1,2,0,0,2,2,0,0,0,0,0,2,0,1,0,3,2,1,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,2,2,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0
88,8,6,2,2,9,3,1,11,5,11,1,6,6,12,2,1,5,0,0,2,4,3,7,3,0,1,0,0,0,2,5,0,5,0,2,1,4,2,8,0,1,1,0,7,0,0,0,3,2,0,0,3,0,3,2,1,1,2,0,0,0,0,2,2,2,0,0,0,3,0,1,0,2,1,0,2,4,5,0,3,0,2,5,3,3,0,1,0,1,3,0,3,1,0,0,1,0,4,0,5
89,2,4,0,2,0,5,18,6,11,9,0,7,0,8,3,1,0,2,3,0,1,9,1,6,2,3,0,0,0,0,2,4,3,0,4,2,1,0,5,0,0,0,0,0,1,4,0,0,2,0,4,0,4,1,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,1,0,0,0,3,3,1,0,1,0,0,1,3,0,0,0,0,1,0,0,0
90,1,3,0,0,0,5,0,1,3,7,0,7,0,1,1,1,4,0,0,3,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,3,6,0,3,0,0,1,0,0,0,0,2,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
91,7,3,3,2,0,1,11,1,3,0,4,0,1,4,4,0,0,4,12,0,1,2,1,1,11,1,16,0,0,0,0,6,1,1,0,2,1,0,8,2,0,1,6,0,1,0,0,0,0,1,6,1,0,0,0,0,1,0,2,0,3,0,0,3,1,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,18,0,0,2,1,8,1,1,3,0,1,8,0,0,0
92,0,1,0,0,0,2,1,3,1,1,0,6,2,0,0,3,1,1,0,0,4,1,3,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,1,1,1,4,1,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,1,2,2,0,0,2,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,2,0,1,0,3
93,2,1,2,0,0,2,0,3,2,3,0,2,1,0,7,1,1,0,0,2,3,2,2,0,0,0,0,2,0,3,2,0,0,3,0,3,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,1,2,2,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
94,2,1,0,0,0,1,0,1,2,2,1,4,0,0,0,1,1,3,0,0,1,0,3,0,1,4,0,0,0,2,1,0,0,2,5,0,2,0,0,3,1,2,0,0,2,0,0,2,2,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,4,0,0,2,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0
95,1,0,1,1,6,0,5,0,2,1,0,2,1,1,8,1,0,0,0,0,2,0,2,3,0,0,0,0,13,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,7,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0
96,1,4,0,1,0,5,1,4,0,1,3,4,1,0,0,1,2,3,0,2,0,1,1,1,1,1,0,1,0,0,5,0,0,2,2,1,0,1,4,0,2,1,0,3,0,2,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,7,0,0,5,3,0,3,2,0,0,1,1,2,1,0,8,0,0,0,0,3,3,2,0,3,3,0,0,3,0,1,3,0,2,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0
98,0,3,0,0,0,7,6,2,1,0,1,9,0,0,0,7,3,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,2,0,4,1,0,0,0,2,0,0,1,0,4,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,7,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0
99,1,4,1,0,3,4,0,1,0,0,2,2,0,4,0,2,2,1,0,1,0,0,3,0,0,1,0,1,1,0,3,0,0,0,2,1,0,0,1,2,1,0,0,1,0,1,0,2,2,0,0,1,1,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,1,1,4,2,2,2,1,1,2,0,1,0,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0
100,7,4,4,2,2,6,2,5,2,3,2,6,0,4,1,1,3,0,0,0,10,1,2,2,1,5,6,7,0,2,11,0,0,0,5,4,0,7,3,2,0,4,1,0,2,0,0,4,3,0,0,1,0,0,2,1,0,0,2,1,0,0,0,2,0,1,0,5,1,0,0,1,0,0,1,2,3,0,0,3,0,0,3,0,5,2,0,0,1,0,0,3,0,0,0,0,1,0,2,0
101,1,13,10,2,1,7,5,7,4,5,2,6,0,2,3,3,6,8,0,8,1,2,0,0,0,1,1,1,0,0,2,0,0,0,0,2,1,4,4,9,3,1,0,5,2,0,0,2,1,0,0,1,4,2,0,2,1,1,1,3,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,4,5,1,0,2,1,0,1,0,2,0,3,0,2,0,0,2,0,15
102,2,3,2,1,3,1,1,1,0,1,2,1,1,1,1,12,0,1,0,1,0,0,0,2,0,1,0,0,4,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,1,3,0
103,5,5,3,0,7,4,2,1,5,0,0,3,16,2,0,3,3,1,0,1,3,0,2,5,2,0,0,2,0,2,2,0,0,1,1,2,3,1,2,2,0,0,0,0,0,0,0,2,2,0,0,1,0,0,3,3,0,1,0,2,1,2,2,0,2,0,0,2,0,1,1,0,2,1,1,2,0,3,0,0,1,4,0,2,2,1,1,1,0,4,0,2,0,0,0,0,1,0,1,0
104,1,1,3,0,3,1,2,0,4,3,1,2,3,0,2,1,1,2,0,4,0,0,0,0,0,0,0,1,7,1,4,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
105,10,1,3,2,8,4,5,9,5,3,3,4,2,5,0,0,1,0,0,2,2,5,5,8,0,2,2,2,0,0,5,0,0,1,0,1,2,1,1,0,0,2,1,1,3,1,0,0,2,2,0,0,4,3,0,2,1,0,0,0,3,3,0,4,2,1,0,2,1,0,1,1,3,1,0,0,2,3,0,2,0,1,1,3,0,1,0,0,1,5,0,2,1,0,1,1,1,0,6,5
106,15,2,1,3,5,2,5,1,0,0,2,0,1,5,3,0,0,1,0,0,2,0,1,2,3,1,3,0,0,0,0,3,2,0,1,0,2,0,0,2,1,0,3,1,0,0,0,0,0,1,0,4,3,5,1,0,0,0,5,1,8,0,0,6,1,3,0,0,3,0,1,1,1,1,0,0,0,0,3,1,1,0,0,1,2,1,0,0,0,1,0,2,0,0,0,1,1,0,1,0
107,5,4,2,1,0,7,3,4,5,1,2,0,0,1,2,4,1,3,10,0,2,3,0,0,4,2,4,2,0,7,1,4,6,1,0,2,2,0,0,1,2,1,5,1,1,0,0,1,0,0,4,1,0,2,2,2,1,0,1,0,2,0,0,2,5,0,2,1,1,7,0,2,1,0,1,0,2,0,0,2,0,4,0,3,2,2,3,1,0,1,4,0,0,1,0,3,4,0,0,0
108,3,6,1,1,4,0,0,2,1,2,1,0,0,1,0,1,0,1,0,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2
109,23,13,34,3,15,27,12,8,9,33,6,16,9,3,9,3,17,2,1,3,13,4,7,4,7,7,2,22,0,1,23,1,0,4,9,18,11,0,13,6,9,5,0,9,4,2,1,13,5,3,1,13,1,6,3,9,4,5,4,2,9,0,5,3,4,0,1,11,7,0,0,1,4,0,3,2,6,3,0,5,2,13,10,2,2,0,1,3,3,1,1,2,2,2,3,1,2,0,0,4
110,1,2,2,1,6,1,0,4,0,0,4,0,0,0,0,3,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,3,3,0,0,0
111,6,6,0,7,1,0,1,1,1,0,3,1,1,3,2,2,1,2,3,2,0,1,0,0,0,1,3,1,4,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,2,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,1,4,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
112,7,6,4,14,9,0,0,2,2,0,1,1,2,1,0,2,5,3,0,5,2,1,3,0,0,4,1,1,0,0,0,0,1,1,4,2,2,1,0,0,0,4,0,3,2,0,1,0,3,1,0,0,0,5,1,1,0,0,0,1,0,1,1,7,0,0,0,0,0,0,1,3,0,1,1,0,0,4,1,2,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0
113,3,2,0,2,6,1,1,1,1,2,0,0,1,2,2,2,1,0,0,3,2,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,3,0,0
114,8,5,0,8,3,0,1,2,1,0,4,0,1,3,2,1,1,1,2,5,1,2,1,0,0,2,3,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,3,0,0,0,0,0,0,3,0,1,6,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
115,14,4,4,8,1,2,25,7,9,3,4,2,2,10,1,0,3,5,4,0,5,3,6,3,11,3,2,4,0,1,2,5,3,2,1,1,8,8,6,0,0,1,0,3,3,0,1,0,3,4,5,1,6,0,1,4,0,1,0,0,3,0,2,4,0,1,0,0,3,1,0,1,1,0,0,0,3,8,1,2,1,3,3,3,3,1,0,0,0,0,1,2,0,1,1,0,0,2,4,0
