articles,million,bhd,said,share,wa,year,price,petrona,ha,stock,market,sen,compani,oil,group,billion,thi,s,contract,malaysia,profit,trade,research,ga,also,includ,us,expect,today,project,net,revenu,hold,klci,per,end,valu,earn,sdn,quarter,last,kuala,lumpur,develop,valuat,fbm,activ,higher,note,point,may,new,base,time,financi,oper,lower,servic,product,first,fundament,close,investor,due,counter,accord,manag,bank,bursa,would,gain,say,top,gainer,work,fell,secur,2015,31,remain,score,rate,current,construct,rose,industri,report,invest,busi,edg,ad,one,continu,two,unit,high,local,target,index,month
227,1,0,7,0,1,0,22,1,0,2,1,0,4,7,0,1,5,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,3,5,0,0,0,1,0,1,0,2,0,1,1,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7
228,1,15,2,2,7,2,2,4,0,2,4,0,0,3,2,2,1,5,0,3,0,3,2,2,1,1,5,2,5,0,0,0,3,1,1,2,0,0,0,0,0,1,1,1,0,1,1,0,0,2,1,2,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,0,2,0
229,0,5,3,2,1,0,4,5,0,2,1,3,0,2,2,0,0,0,0,0,1,2,2,1,0,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
230,0,0,1,1,3,14,26,4,5,3,2,2,1,34,0,14,8,0,0,24,2,2,3,4,4,2,24,1,0,3,1,4,3,1,2,2,0,0,0,2,9,0,0,2,0,1,0,1,3,4,3,3,2,1,3,1,12,3,0,5,0,4,2,0,0,0,0,12,0,6,1,13,0,0,0,0,1,5,0,1,0,3,8,0,0,0,1,7,1,2,2,7,1,2,0,5,3,7,0,6
231,24,8,3,6,8,3,3,1,7,2,7,3,5,0,4,3,4,0,0,7,1,2,0,0,2,1,0,1,0,0,3,1,3,0,3,1,15,0,1,0,5,4,4,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,2,0,0,3,0,0,4,2,0,3,4,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2,8,0,3,4,1,3,3,4,1,2,1,0,0,1
232,2,2,6,4,1,2,7,3,1,1,1,4,1,3,4,2,2,3,5,0,0,0,0,0,1,0,0,2,1,5,0,1,0,0,0,0,1,1,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,1,0,0,3,0,1,0,0,0,0,0,4,1,0,0,2,1,0,0,2,1,1,0,0,0,1,0,0,0
233,0,0,0,0,2,9,25,3,3,2,9,0,1,18,0,0,3,0,0,10,0,1,3,4,3,0,8,7,0,0,0,5,0,1,4,1,0,0,0,0,3,0,0,0,1,0,0,3,1,1,1,0,0,1,0,0,2,0,1,1,0,0,3,4,0,2,1,1,1,0,0,11,0,0,0,0,0,4,0,1,0,8,0,0,0,1,0,1,0,1,0,1,5,0,0,5,0,0,1,1
234,0,2,3,1,0,0,2,2,2,0,0,1,1,1,0,1,2,0,4,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
235,18,10,7,7,9,2,5,3,3,2,6,8,7,0,5,4,3,3,6,4,4,1,0,0,2,1,1,2,6,1,4,3,2,0,3,3,1,1,3,6,0,3,3,1,0,0,0,1,0,0,1,1,1,0,2,3,1,0,1,1,0,2,0,1,1,2,0,0,4,0,0,0,0,0,1,2,1,0,4,0,0,1,0,1,3,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0
236,1,14,1,6,3,1,6,2,0,3,3,3,0,3,2,2,1,3,0,2,0,2,0,1,2,2,4,0,1,0,0,0,3,3,0,0,1,0,1,0,3,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,3,1,0,2,0,0,0,0,0,2,0,2,2,0,2,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,3,0,0,0,0,0,3,2
237,2,3,4,2,2,2,7,7,2,2,0,3,0,6,1,1,2,0,1,1,0,1,0,1,1,0,3,0,0,6,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,1,1,0,2,2,0,0,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,0,1,0,0,0,0,0,0
238,2,2,1,5,3,7,18,2,11,2,1,0,3,5,4,3,3,0,1,1,2,3,7,2,4,1,7,2,0,2,1,6,1,0,7,7,1,3,0,3,7,0,0,1,2,0,0,1,0,0,0,1,2,3,0,2,2,0,7,2,0,1,3,5,0,6,1,0,0,1,0,6,0,0,0,1,0,0,2,0,0,2,2,2,0,4,3,1,0,1,1,1,0,0,0,1,1,1,0,2
239,0,0,0,0,2,1,3,1,3,7,2,0,1,5,0,0,2,0,0,0,1,0,0,1,3,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
240,0,5,0,0,0,0,4,4,0,6,0,0,5,6,2,0,1,0,1,0,0,0,1,2,1,0,2,1,0,1,0,0,0,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0
241,3,13,9,4,0,1,11,9,1,11,1,5,3,10,0,1,2,0,2,2,1,0,5,3,2,1,3,3,0,0,0,0,2,1,3,0,0,6,0,1,0,1,1,0,0,1,2,3,2,2,3,0,0,0,2,2,3,0,0,1,0,4,1,1,0,0,0,4,2,4,1,1,4,1,0,4,0,2,0,0,0,1,1,0,0,0,3,4,2,2,1,2,0,2,0,0,1,1,1,0
242,0,0,1,2,2,1,1,2,0,4,3,0,0,5,0,0,0,7,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
243,1,8,2,2,3,1,4,4,2,1,1,0,0,4,1,2,3,0,0,1,0,2,0,2,0,1,2,0,4,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,3,2,0,0,1,0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
244,1,24,4,5,3,0,3,3,0,2,3,1,0,5,3,2,0,1,1,1,0,2,1,3,0,3,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,2,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,3,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1
245,0,0,3,4,2,1,3,2,0,1,0,0,1,8,0,0,0,4,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
246,0,3,2,0,1,0,0,2,1,2,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
247,3,2,0,7,2,2,3,1,2,1,0,1,2,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2
248,0,6,1,5,5,0,2,3,2,1,4,0,0,1,1,2,0,2,0,2,0,1,0,1,0,0,1,1,2,0,0,0,1,2,0,1,0,0,1,0,0,1,1,0,0,2,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,1,0,2,0,2,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
249,2,3,3,4,2,0,3,3,1,2,0,1,1,2,0,1,1,2,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,2,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0
250,43,11,12,16,8,14,7,2,8,4,12,21,1,3,7,13,2,1,5,7,9,3,0,0,1,0,1,2,8,5,11,12,0,0,7,11,0,4,4,16,1,3,2,6,0,0,2,6,0,0,1,1,1,0,5,0,4,1,3,1,0,4,0,2,1,3,0,0,6,0,0,0,1,0,2,3,1,0,1,0,0,1,2,2,3,0,0,0,0,1,0,0,0,1,1,2,0,0,0,6
251,1,4,1,3,4,0,2,3,0,2,0,2,1,1,1,1,0,3,1,0,0,1,0,3,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
252,5,5,0,3,1,6,4,2,6,1,3,2,1,5,8,4,3,0,3,4,2,2,3,4,1,0,1,0,0,4,2,2,1,0,1,0,0,4,1,1,1,0,0,3,0,0,2,1,3,1,0,2,1,3,3,0,3,1,1,3,0,1,1,2,0,0,1,0,1,7,0,11,0,0,1,0,2,0,0,3,0,0,1,2,0,1,3,0,1,2,0,0,1,0,1,2,0,2,0,0
253,2,4,0,2,5,0,0,1,0,4,2,0,0,0,0,0,1,5,1,2,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,0,1,0,0,3,0,1,1,0,0,1,1,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,1,1,1,2,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
254,4,3,1,2,0,0,0,3,0,0,0,3,0,1,0,0,1,1,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,1,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,2,0,0,0,0,0
255,14,3,2,2,0,4,1,2,2,2,0,2,1,1,0,2,4,0,7,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,4,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,2
256,12,22,9,10,6,8,4,2,5,1,7,14,3,3,7,6,1,15,0,6,3,2,0,5,3,2,0,3,7,4,2,3,14,0,4,2,1,4,3,6,3,1,1,2,0,0,0,3,0,0,1,0,1,1,0,3,8,2,3,0,0,8,0,1,0,2,1,3,4,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,2,1,0,2,2,2,2,2,0,0,0,0,0
257,1,1,6,0,1,1,0,5,1,1,0,0,2,1,0,0,2,0,2,1,0,0,0,5,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,0,0,1,0,0,1,2,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0
258,3,2,0,0,0,6,2,1,4,1,11,0,8,2,1,5,6,0,5,5,1,0,0,1,4,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,2,0,0,4,0,0,1,0,1,0,2,1,0,0,3,1,1,0,0,2,1,2,0,2,0,0,1,1,1,1,0,8,0,0,0,0,1,0,1,1,0,3,1,0,0,3,1,0,4,2,3,2,2,3,0,0,1,0,0,1
259,3,7,6,10,3,0,2,1,4,4,0,5,1,1,5,2,0,0,1,0,1,1,4,1,1,0,0,1,1,0,0,0,2,0,5,0,2,0,4,0,0,1,1,1,0,0,0,0,3,0,1,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,1,0,0,0,0,1,0,1,0,0
260,4,3,0,3,2,9,1,1,9,2,7,0,13,2,1,4,9,0,0,6,3,1,1,1,1,1,1,4,0,1,0,6,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,1,1,3,3,1,1,1,3,0,0,4,3,0,3,1,0,2,1,0,8,0,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,5,2,1,2,0,1,0,2,2,0,0,2
261,6,3,0,3,3,2,3,1,3,10,5,1,11,0,0,0,10,0,0,5,1,4,3,1,1,1,0,0,0,0,3,2,0,0,1,0,4,0,0,0,3,0,0,5,5,0,1,0,0,0,0,0,1,5,1,2,0,1,3,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,2,0,2,1,5,1,0,1,4,0,2,0,0,0,0
262,17,3,4,3,0,2,3,1,3,1,2,2,2,2,2,1,3,0,1,3,0,1,2,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,1,1,1,1,0,0,0,2,1,0,0,0,1,2,2,0,0,0,0,1,0,1,0,0,0,0,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,2,0,0,0,0,0,0,2,0,0
263,1,1,6,3,1,1,4,1,1,1,0,2,2,0,0,1,2,1,0,0,3,0,5,0,1,1,0,2,1,0,2,0,0,0,1,0,0,2,0,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0
264,6,2,2,6,2,0,2,1,0,3,2,1,0,2,1,0,1,4,1,2,0,2,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
265,2,16,0,2,3,7,10,5,11,9,5,0,3,13,3,3,7,0,10,3,1,0,2,3,3,1,11,8,0,2,0,0,4,0,11,2,1,6,0,1,3,0,0,1,2,0,0,2,1,1,1,3,1,0,1,1,1,0,0,1,1,0,3,0,1,1,6,0,1,2,0,7,0,0,0,1,1,4,0,3,0,2,2,0,0,5,1,0,0,3,2,0,4,1,0,1,1,1,0,0
266,0,3,5,0,1,1,1,14,0,1,0,0,1,1,1,0,2,0,2,2,0,0,6,1,2,0,0,0,0,7,0,0,0,0,0,0,0,2,1,0,1,1,1,1,0,0,0,0,0,0,2,7,0,2,4,0,0,2,1,1,0,0,0,0,0,0,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,2,3,1,1,0,1,0,1,0,1,0,1
267,5,8,1,0,6,4,3,1,2,1,1,0,0,0,0,1,7,0,0,8,0,0,0,0,1,2,0,0,0,4,0,0,2,0,0,0,1,0,7,0,2,4,4,7,1,0,0,0,0,0,1,1,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,2,0,4,5,1,1,0,0,0
268,4,8,0,5,0,6,3,3,5,1,3,3,6,4,3,8,4,0,10,2,1,1,2,4,1,3,1,0,0,4,0,0,3,0,0,2,1,0,0,0,5,0,0,1,0,0,1,0,3,1,1,0,0,1,1,0,0,3,2,2,0,3,0,0,1,0,0,0,0,3,2,9,0,0,3,0,1,1,0,0,0,0,0,6,0,4,0,0,1,1,1,0,1,0,1,2,8,0,0,0
269,1,2,1,2,0,1,3,6,0,1,0,1,0,1,1,0,2,0,0,0,0,0,4,2,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0
270,1,0,4,3,1,0,4,1,0,4,1,2,0,4,0,0,1,1,0,0,0,2,1,0,0,3,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
271,30,11,10,2,3,10,4,4,5,1,5,9,5,1,8,6,1,0,2,6,10,0,2,2,3,1,1,2,6,3,7,5,1,0,1,8,1,1,3,9,0,1,1,7,0,0,0,3,0,0,1,0,1,1,7,1,4,1,1,2,0,4,0,6,0,0,0,2,5,0,1,0,0,0,1,1,0,2,2,0,0,1,0,5,1,3,1,2,0,0,0,0,0,2,0,0,1,1,0,0
272,6,5,0,0,6,4,5,2,9,1,5,0,0,1,6,1,5,0,0,5,0,0,0,1,13,1,2,4,0,4,0,0,1,0,2,0,0,0,4,0,0,0,0,12,0,0,0,0,2,3,2,2,0,1,1,1,0,4,0,3,0,2,0,0,0,2,1,2,0,2,1,7,0,0,2,0,0,1,0,1,0,1,0,2,0,0,0,0,1,1,0,2,2,2,4,0,1,0,0,2
273,1,0,4,2,2,0,0,2,0,2,3,2,0,0,0,0,1,2,0,1,2,2,1,2,0,3,2,1,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,0,0,3,2,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,6,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,2,1,2,1
274,6,2,3,6,1,1,2,1,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,2,0,0,0,1,0,0
275,7,4,0,2,1,6,1,2,8,1,1,1,5,5,4,1,5,0,5,3,1,0,0,2,3,1,1,4,0,10,1,2,2,0,0,1,2,2,2,1,2,0,0,3,0,0,1,0,0,2,0,1,0,0,1,1,0,15,3,5,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,3,1,0,3,1,3,0,1,0,2
276,0,7,2,3,3,0,1,3,0,2,3,0,0,2,0,2,0,3,0,2,0,2,0,2,0,2,1,0,1,0,0,0,0,2,0,2,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,1,0,1,2,0,2,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0
277,1,0,4,3,3,0,0,1,0,1,4,2,0,0,0,0,0,1,0,0,0,5,0,0,0,3,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3,0,2,1,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
278,6,5,10,6,1,6,6,5,2,4,5,0,3,1,0,0,4,0,0,1,2,0,0,1,2,0,1,0,0,0,2,0,2,1,1,0,2,2,1,0,3,1,1,0,3,1,0,0,5,0,1,0,0,3,3,0,0,0,1,1,0,1,1,1,3,1,7,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,2,0,2,1,0,2,3,0,0,0,0,2,5,0,0,0
279,17,17,5,3,3,8,2,1,6,5,8,11,0,1,6,1,1,2,6,3,4,1,0,1,2,1,0,2,6,3,3,4,5,0,0,5,1,0,8,4,0,2,2,6,0,0,0,1,0,0,0,0,2,0,5,1,4,2,0,1,0,6,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1,4,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1
280,2,0,3,3,3,0,0,1,1,3,2,2,0,0,1,1,0,2,0,2,1,2,1,1,2,3,0,0,0,3,0,0,0,3,0,1,1,0,0,0,0,1,1,1,0,3,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,2,0,0,2,0,1,2,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,3,0,2,0
281,1,5,2,2,2,0,0,3,0,2,0,4,1,1,0,0,1,2,0,0,0,1,1,1,0,1,0,0,2,1,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
282,1,0,7,1,3,0,0,1,0,1,4,2,0,0,0,0,3,0,0,3,0,1,1,1,2,3,3,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,2,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,1,1,0
283,0,0,4,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
284,9,16,4,5,2,4,0,2,6,2,3,1,3,1,3,0,3,2,2,4,4,0,0,1,4,1,0,1,5,1,2,4,4,0,0,2,0,0,6,4,1,1,1,0,0,0,0,2,1,0,0,2,1,0,1,4,1,2,1,2,0,2,0,0,0,0,2,0,3,1,0,0,0,0,1,0,0,2,1,4,0,0,2,0,0,0,0,0,1,0,0,1,1,0,3,1,1,2,0,4
